Views,Likes,Shares,Comments,Engagement_Level,Platform_Instagram,Platform_TikTok,Platform_Twitter,Platform_YouTube,Content_Type_Live Stream,Content_Type_Post,Content_Type_Reel,Content_Type_Shorts,Content_Type_Tweet,Content_Type_Video,Region_Australia,Region_Brazil,Region_Canada,Region_Germany,Region_India,Region_Japan,Region_UK,Region_USA,Conversion_Rate
4163464.0,339431,53135,19346,High,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.15654138837771028
4155940.0,215240,65860,27239,Medium,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.30598401782633416
3666211.0,327143,39423,36223,Medium,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.1205069342727643
917951.0,127125,11687,36806,Low,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.09193313666926779
1323566.0,136282,86979,47129,Low,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.6382280858339159
627233.0,84121,97973,32648,Medium,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1.1646675620636147
2066886.0,317502,45222,33638,High,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.1424305988578834
2169523.0,496078,96041,30174,Medium,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.19360060312705663
3898384.0,8634,69378,42700,Low,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,8.035441269358998
4070332.0,379894,46012,25242,High,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.12111799606940046
4585669.0,465871,69083,8999,Medium,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.14828783074824817
4105651.0,195560,37627,49089,High,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.19240642257146623
1633015.0,312907,45774,30725,High,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.1462862767484816
